site,subpop,first.year,r.t.,first.num.stems,den.first.year,woody,deer
35,3580,2011,0.074107972,13,1.840056617,low,low
35,3581,2011,-0.099372474,74,7.855626327,low,low
35,3787,2012,0.572234252,180,0.229528892,low,none
35,3798,2012,0.847860132,254,1.155595996,low,none
104,3113,2012,0.278713402,308,16.34819533,low,none
104,3113,2013,0.205794913,407,8.416742493,low,none
141,55,2004,-0.553885113,174,3.417453761,high,low
141,55,2005,-0.198450939,100,1.9418984,low,low
141,55,2006,0.035932009,82,6.815243406,none,none
141,55,2010,0.241638134,150,3.184713376,low,low
141,55,2011,-0.158523227,191,2.715233812,low,low
141,55,2012,-0.402402319,163,4.915798108,high,low
141,55,2013,0.383825933,109,2.003658055,low,low
141,55,2014,-0.510825624,160,2.941149438,high,low
208,2460,2008,-0.176803214,253,11.31249539,none,none
208,2460,2009,-0.602996084,212,9.002123142,low,none
208,2504,2008,0.746115673,671,9.599922171,none,none
208,2504,2009,0.038812911,1415,20.92822211,none,low
208,2791,2008,0.583366981,1159,8.952420089,low,none
208,2791,2009,0.1097802,2077,8.914622212,low,low
208,2936,2009,-0.070380797,206,13.40931948,low,low
226,8,2001,0.312634122,376,0.041741254,low,low
226,8,2002,-1.136277792,514,0.058462238,high,high
226,8,2005,0.999672341,138,0.021974522,low,low
226,8,2006,-0.054808236,375,0.040899572,low,low
226,8,2007,0.274211468,355,0.028712971,low,low
226,8,2008,-0.442546783,467,0.005665757,low,low
226,8,2009,-0.178329536,300,0.003976749,low,low
226,8,2010,0.119993959,251,0.003327214,low,low
226,8,2011,0.445862984,283,0.021849064,low,low
226,1089,2002,-1.277095069,104,0.667426078,high,high
226,1089,2006,-0.16532398,105,1.005698961,high,low
226,1089,2007,-0.463284679,89,0.954341719,high,low
226,1089,2008,-0.074107972,56,0.752912751,high,low
226,1089,2009,-0.144581229,52,0.599692542,low,low
226,1089,2010,0.021978907,45,0.551200392,low,low
226,1089,2011,0.515164025,46,0.25533214,low,low
226,1090,2005,0.666478933,19,32.27176221,low,low
226,1090,2006,-0.14518201,37,11.78343949,low,low
226,1090,2007,0.14518201,32,13.5881104,low,low
226,1090,2008,-0.83832919,37,12.79070772,low,low
226,1090,2011,0.150282203,37,2.945859873,low,low
226,1091,2001,1.347073648,39,3.074352021,none,none
226,1091,2002,-1.297063227,150,8.630659555,high,high
226,1091,2005,0.967992106,49,8.322717622,low,none
226,1091,2006,0.007722046,129,10.27070064,low,low
226,1091,2007,0.188711355,130,11.0403397,low,low
226,1091,2008,-0.481534827,157,13.52265044,low,low
226,1091,2009,-1.31661444,97,10.16174992,low,low
226,1091,2010,0.268263987,26,2.156316348,low,low
226,1091,2011,0.904456274,34,2.547770701,low,low
226,2714,2008,-0.322773392,29,0.200775408,high,low
227,7,2004,0.086260344,222,0.017403234,low,low
227,7,2009,-0.960307617,627,0.063390961,low,low
227,7,2010,0.411005288,240,0.012818972,low,low
227,7,2011,-0.785698738,362,0.097597142,low,low
227,1244,2009,-0.411098926,89,0.722033973,low,none
227,1244,2010,-0.363965377,59,1.004534024,low,none
227,1245,2004,-0.111225635,152,0.247293197,none,low
227,1589,2004,-0.296265816,39,34.21592883,none,none
227,1589,2009,0.24613307,86,1.229563862,low,low
227,1589,2010,-0.510825624,110,1.762165349,none,none
349,1088,2002,0.141078598,33,42.03821656,low,low
349,1088,2003,-0.379489622,38,NA,low,low
349,1088,2004,0.852777326,26,33.12101911,none,low
349,1088,2005,-0.198850859,61,NA,low,low
349,1088,2006,0.292669614,50,6.369426752,low,low
349,1088,2007,-0.678332095,67,22.76008493,low,low
349,1088,2008,1.400893161,34,43.31210191,low,low
349,1088,2009,-0.623188592,138,24.41613588,low,low
349,1088,2010,-0.193191229,74,6.439037973,low,low
349,1088,2011,0.388935806,61,19.42675159,none,low
349,1088,2012,0.125163143,90,5.661712668,none,low
349,1088,2013,0.066375069,102,11.51407228,low,low
