VALUE,COUNT
216,8
217,5
218,9
219,8
220,10
221,7
222,24
223,28
224,15
225,23
226,34
227,25
228,33
229,34
230,62
231,68
232,60
233,40
234,43
235,91
236,72
237,72
238,59
239,99
240,103
241,114
242,166
243,145
244,227
245,226
246,215
247,379
248,354
249,425
250,462
251,583
252,441
253,498
254,481
255,545
256,677
257,436
258,446
259,651
260,727
261,494
262,433
263,695
264,764
265,940
266,1083
267,1616
268,1293
269,1537
270,1940
271,2846
272,2974
273,2442
274,2688
275,2925
276,2923
277,2817
278,3131
279,3845
280,3646
281,3969
282,4448
283,4470
284,4615
285,4424
286,4437
287,5169
288,4638
289,4224
290,3827
291,3824
292,3640
293,3424
294,3939
295,4138
296,4276
297,4954
298,4897
299,5615
300,6633
301,6587
302,7618
303,8422
304,7970
305,6590
306,5353
307,3937
308,3332
309,2808
310,2462
311,2693
312,2528
313,2471
314,2571
315,2441
316,1810
317,1518
318,1386
319,1331
320,1391
321,1239
322,1041
323,1160
324,1032
325,1108
326,961
327,884
328,891
329,898
330,1045
331,940
332,938
333,1111
334,1064
335,858
336,883
337,673
338,692
339,668
340,887
341,714
342,658
343,710
344,951
345,728
346,638
347,460
348,431
349,500
350,556
351,596
352,479
353,496
354,476
355,566
356,618
357,777
358,795
359,691
360,739
361,699
362,887
363,1035
364,1104
365,1122
366,1122
367,969
368,963
369,1260
370,1172
371,1023
372,1129
373,1079
374,1186
375,1484
376,1627
377,2003
378,1888
379,1701
380,1569
381,1238
382,1286
383,1264
384,1458
385,1504
386,1526
387,1698
388,2060
389,1879
390,1866
391,2143
392,2101
393,1685
394,1726
395,1628
396,1453
397,1956
398,2081
399,2270
400,1995
401,2110
402,2354
403,2522
404,2400
405,2114
406,1914
407,2275
408,2242
409,2282
410,2010
411,2568
412,2453
413,2425
414,2747
415,2812
416,2722
417,2771
418,2713
419,2849
420,2519
421,2421
422,2465
423,3171
424,3425
425,3312
426,3236
427,3714
428,4411
429,4126
430,3773
431,3184
432,3003
433,2665
434,2619
435,2344
436,2178
437,2022
438,2221
439,1824
440,1706
441,1782
442,1885
443,1794
444,1760
445,1683
446,1569
447,1310
448,1224
449,1636
450,1564
451,1370
452,1425
453,1437
454,1444
455,1479
456,1630
457,1521
458,1554
459,1807
460,1764
461,1600
462,1606
463,1745
464,2175
465,2168
466,2469
467,2569
468,2055
469,1822
470,1414
471,1103
472,1075
473,1116
474,954
475,1055
476,1013
477,1054
478,981
479,971
480,1191
481,1031
482,960
483,1056
484,1266
485,1232
486,1260
487,1281
488,1234
489,1208
490,1259
491,1178
492,1168
493,1132
494,1115
495,1078
496,1181
497,981
498,1140
499,1078
500,1128
501,1044
502,1030
503,1014
504,1104
505,945
506,936
507,1103
508,1015
509,1012
510,1157
511,879
512,970
513,978
514,854
515,886
516,892
517,807
518,813
519,793
520,808
521,868
522,901
523,784
524,808
525,850
526,856
527,686
528,767
529,761
530,928
531,859
532,836
533,803
534,836
535,828
536,763
537,799
538,702
539,734
540,733
541,774
542,858
543,698
544,782
545,823
546,703
547,635
548,825
549,907
550,727
551,683
552,733
553,830
554,914
555,688
556,813
557,866
558,794
559,787
560,773
561,747
562,913
563,960
564,979
565,1033
566,952
567,927
568,1010
569,954
570,1097
571,1054
572,1153
573,1144
574,1063
575,931
576,1006
577,920
578,997
579,877
580,763
581,592
582,581
583,749
584,769
585,795
586,914
587,949
588,996
589,945
590,867
591,956
592,833
593,914
594,942
595,741
596,737
597,826
598,734
599,765
600,880
601,804
602,708
603,736
604,687
605,667
606,688
607,686
608,581
609,527
610,474
611,456
612,390
613,327
614,261
615,240
616,229
617,203
618,212
619,216
620,144
621,202
622,184
623,187
624,148
625,140
626,167
627,152
628,146
629,128
630,109
631,136
632,136
633,160
634,146
635,214
636,199
637,203
638,211
639,228
640,323
641,293
642,288
643,257
644,282
645,266
646,284
647,312
648,227
649,238
650,241
651,188
652,178
653,194
654,155
655,150
656,79
657,104
658,72
659,86
660,93
661,68
662,88
663,96
664,74
665,55
666,55
667,54
668,62
669,28
670,18
671,29
672,16
673,14
